收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨实验室项目","3608268410","北大出品！具身智能抓取最新数据集RoboMIND",BV1HHCKYNEmV,1969,0,03:00,https://www.bilibili.com/video/BV1HHCKYNEmV
"2、汇丨实验室项目","3608268410","UC伯克利最新！DexterityGen：前所未有的机器人灵活性基础控制器",BV1yhKVeDE2K,3609,0,02:52,https://www.bilibili.com/video/BV1yhKVeDE2K
"2、汇丨实验室项目","3608268410","英伟达最新！DextrAH-RGB: 灵巧手抓取任何物体的视动策略",BV1goNUeoEyj,3371,0,01:09,https://www.bilibili.com/video/BV1goNUeoEyj
"2、汇丨实验室项目","3608268410","浙江大学 FAST-Lab FAR课题组 2024代表性研究成果 | 空中机器人 | 人工智能 | 集群机器人 |   自主导航",BV1BfFxebEYv,7.1万,28,04:16,https://www.bilibili.com/video/BV1BfFxebEYv
"2、汇丨实验室项目","3608268410","中山大学HI-LAB空中机械臂成果合集：5mm精度/零秒抓取/视觉语言大模型/全身规划与控制",BV1nU73zcEAY,1.5万,4,00:33,https://www.bilibili.com/video/BV1nU73zcEAY
"2、汇丨实验室项目","3608268410","基于强化学习的四旋翼无人机被动容错控制方法",BV1bm94YPE5x,3249,0,03:54,https://www.bilibili.com/video/BV1bm94YPE5x
"2、汇丨实验室项目","3608268410","[IROS2025] STORM: 基于时空迭代优化的四旋翼无人机轨迹生成",BV18Y9nYJE2z,3193,0,02:28,https://www.bilibili.com/video/BV18Y9nYJE2z
"2、汇丨实验室项目","3608268410","2D Fast-Planner+拓扑路径引导",BV1EezbYDEmR,5228,0,04:04,https://www.bilibili.com/video/BV1EezbYDEmR
"2、汇丨实验室项目","3608268410","【IROS25】扫地机器人的绝地求生：强化学习脱困黑科技！",BV1JM9tYSEM5,5006,1,03:00,https://www.bilibili.com/video/BV1JM9tYSEM5
"2、汇丨实验室项目","3608268410","[IROS2025] SEAL: Safety Enhanced Trajectory Planning and Control Framework",BV1ceRNYtEhf,7256,0,02:52,https://www.bilibili.com/video/BV1ceRNYtEhf
"2、汇丨实验室项目","3608268410","YOPOv2：无人机目标追踪与自主避障",BV1Q8LdzPET5,2.2万,6,04:38,https://www.bilibili.com/video/BV1Q8LdzPET5
"2、汇丨实验室项目","3608268410","【开源】【RA-L'25】NavRL：基于强化学习的移动机器人无人机自主导航和避障",BV1gsA9eTErz,4.2万,3,02:45,https://www.bilibili.com/video/BV1gsA9eTErz
"2、汇丨实验室项目","3608268410","【2025 ICRA】基于课程强化学习的机器人目标探索导航",BV1c4EEzpEfH,5753,0,03:00,https://www.bilibili.com/video/BV1c4EEzpEfH
"2、汇丨实验室项目","3608268410","四足机器人利用多样的自然行为首次完成“敏捷挑战”!",BV1hrJazVESj,2376,0,03:33,https://www.bilibili.com/video/BV1hrJazVESj
